status,price,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Effective Tax Rate (2023),2023_avg_income
for_sale,799000.0,3.0,2.0,1.38,Meredith,New Hampshire,06111,2051.0,2004-10-01,1.77%,123724.90548802936
for_sale,439900.0,3.0,3.0,0.08,Nampa,Idaho,06066,1774.0,2019-06-06,0.53%,99536.10971360006
for_sale,697000.0,3.0,2.0,1.36,Santa Fe,New Mexico,06416,1950.0,2015-05-15,0.72%,84812.19844585452
for_sale,477000.0,3.0,2.0,0.14,Boise,Idaho,06248,1344.0,2022-04-29,0.53%,99536.10971360006
for_sale,780000.0,3.0,4.0,1.09,Kenai,Alaska,06029,3624.0,2015-05-04,1.14%,93274.16234024455
for_sale,369900.0,3.0,3.0,1.54,Berea,Kentucky,06255,3609.0,2019-04-29,0.77%,57036.52805514948
for_sale,295000.0,4.0,3.0,0.16,Billings,Montana,06053,1980.0,2005-02-14,0.75%,116941.05877548415
for_sale,240000.0,3.0,2.0,0.27,Guntown,Mississippi,06762,1708.0,2017-06-06,0.74%,52738.70725042573
for_sale,829000.0,5.0,3.0,1.9,Willard,Utah,02827,4568.0,2021-10-26,0.53%,121929.13729361654
for_sale,235000.0,3.0,2.0,1.0,Conroe,Texas,02896,2049.0,2022-01-14,1.58%,68076.19409430894
sold,375000.0,3.0,1.0,0.56,Johnston,Rhode Island,01702,1248.0,2022-03-15,1.32%,118156.61973613295
for_sale,220110.0,4.0,2.0,0.87,Valley,Alabama,01002,1518.0,2022-06-30,0.38%,57793.95428528634
for_sale,238000.0,4.0,2.0,0.17,Omaha,Nebraska,06051,1530.0,2018-09-07,1.50%,75510.35614367206
for_sale,383000.0,6.0,3.0,0.17,Fargo,North Dakota,03447,2742.0,2021-11-08,0.99%,77449.84134647761
for_sale,154000.0,3.0,2.0,11.74,Red Lake Falls,Minnesota,01230,1216.0,2018-03-12,1.04%,77425.05298286949
for_sale,279900.0,3.0,1.0,0.14,Medford,Oregon,01505,1158.0,2020-03-09,0.83%,120779.60210954362
for_sale,95487.0,3.0,1.0,0.12,Huntington,West Virginia,02893,1008.0,2017-03-09,0.54%,39952.0949609859
sold,600000.0,4.0,4.0,,Columbia,Maryland,06106,3990.0,2021-11-18,1.00%,78640.19836172635
for_sale,429000.0,4.0,4.0,,Foley,Alabama,01075,2590.0,2017-08-15,0.38%,57793.95428528634
for_sale,425000.0,,,6.07,Prescott,Arizona,06076,,2012-03-13,0.52%,92314.15759011848
for_sale,405000.0,2.0,2.0,0.2,Sun Lakes,Arizona,01106,1650.0,2014-09-12,0.52%,92314.15759011848
for_sale,780000.0,1.0,1.0,,Honolulu,Hawaii,06084,702.0,2021-11-01,0.27%,219892.62752835412
for_sale,93500.0,,,4.67,Hesperia,Michigan,01238,,2015-10-12,1.28%,61661.44572669167
for_sale,879900.0,4.0,3.0,2.86,Georgetown,Delaware,06062,3000.0,2017-09-21,0.53%,89611.95571645044
for_sale,309900.0,3.0,2.0,1.33,Northwood,New Hampshire,06053,1512.0,2005-07-29,1.77%,123724.90548802936
for_sale,289900.0,3.0,2.0,0.21,Great Falls,Montana,12153,1852.0,2020-01-17,0.75%,116941.05877548415
sold,159900.0,3.0,1.0,0.09,Irwin,Pennsylvania,03053,,2021-10-29,1.35%,69487.92885926984
for_sale,758000.0,4.0,3.0,0.36,Bismarck,North Dakota,12501,3136.0,2013-03-22,0.99%,77449.84134647761
sold,950000.0,2.0,2.0,,New York City,New York,06109,,2022-04-01,1.60%,78584.01627766101
for_sale,2000000.0,3.0,3.0,21.86,Riceville,Tennessee,02053,2941.0,2019-03-29,0.55%,69027.07964055386
for_sale,199900.0,3.0,2.0,0.75,Guthrie,Kentucky,06281,1600.0,2018-06-12,0.77%,57036.52805514948
for_sale,418000.0,3.0,2.0,0.16,Los Alamos,New Mexico,06450,1344.0,2017-12-01,0.72%,84812.19844585452
for_sale,99900.0,2.0,1.0,,Iowa City,Iowa,01527,924.0,2019-07-22,1.43%,65029.6637428417
sold,284900.0,2.0,2.0,,Selbyville,Delaware,06062,1108.0,2021-11-12,0.53%,89611.95571645044
for_sale,395000.0,4.0,3.0,0.17,West Hartford,Connecticut,06062,2041.0,2018-01-10,1.92%,113214.17659599264
for_sale,189900.0,2.0,3.0,0.04,Wheeling,West Virginia,02806,1260.0,1997-10-03,0.54%,39952.0949609859
sold,324900.0,3.0,2.0,0.08,Providence,Rhode Island,03033,1829.0,2021-10-19,1.32%,118156.61973613295
for_sale,250000.0,3.0,1.0,18.57,Mooresburg,Tennessee,02814,1260.0,2016-05-25,0.55%,69027.07964055386
for_sale,1795000.0,4.0,3.0,0.14,Pleasanton,California,01077,2588.0,1987-04-10,0.71%,163298.34196287158
for_sale,63000.0,,,5.16,Willow,Alaska,01075,,2004-06-01,1.14%,93274.16234024455
for_sale,395000.0,4.0,2.0,0.18,Hoffman Estates,Illinois,06066,1893.0,1983-11-21,2.07%,52998.27637483836
for_sale,435000.0,3.0,2.0,0.22,Victorville,California,01106,1828.0,2018-05-04,0.71%,163298.34196287158
for_sale,525000.0,4.0,4.0,1.93,Shenandoah Junction,West Virginia,02052,3948.0,1999-09-03,0.54%,39952.0949609859
for_sale,775000.0,3.0,4.0,,Palisades Park,New Jersey,06118,,2008-11-06,2.23%,113380.97440201588
for_sale,139900.0,3.0,2.0,0.48,Marietta,Ohio,01776,1210.0,1987-09-28,1.36%,50625.45653892502
for_sale,499999.0,3.0,2.0,22.96,Green Forest,Arkansas,01201,1456.0,2018-04-27,0.57%,54071.03725555984
for_sale,125000.0,3.0,2.0,0.11,Phenix City,Alabama,01038,1213.0,2004-03-31,0.38%,57793.95428528634
